player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Thomas Graham Jr.,55685,CB,CHI,4,2,11.3,0,0,6,90.6,84.5,78.8,,48.8,48.0,16.7,1,0,51,53,0.0,0,3
Deommodore Lenoir,55686,CB,SF,6,0,,0,0,28,58.8,57.1,81.9,59.0,45.7,83.9,,0,3,74,75,0.0,0,0
Darious Williams,55724,CB,LA,18,4,6.3,0,0,26,60.7,61.8,51.9,,68.6,75.9,4.8,1,4,404,415,1.5,6,16
Xavier McKinney,55775,S,NYG,17,12,11.0,0,0,21,78.4,75.4,71.2,57.5,68.0,81.0,5.7,2,1,451,459,1.1,5,21
Kamren Curl,55800,S,WAS,16,15,5.3,1,0,32,65.5,69.4,64.6,68.2,75.6,82.4,9.8,4,3,296,301,4.7,14,22
Hamsah Nasirildeen,55898,LB,NYJ,4,0,7.0,0,0,22,57.5,27.5,0.0,60.0,25.2,47.2,66.7,2,1,38,38,2.6,1,1
Richard LeCounte,55910,S,CLV,3,0,,0,0,8,63.2,63.5,80.1,,57.6,34.4,,0,0,23,23,0.0,0,0
Eric Stokes,55912,CB,GB,17,4,8.2,0,0,12,67.1,65.5,87.4,,50.2,65.8,18.2,2,3,310,319,0.3,1,5
Grant Stuard,55933,LB,TB,1,1,,0,0,30,67.1,67.7,70.6,58.0,60.6,78.6,0.0,0,0,1,1,0.0,0,0
Nate Hobbs,55948,CB,LV,16,12,3.5,0,0,23,78.0,80.1,62.9,76.7,78.6,54.8,13.9,5,3,273,281,4.8,13,19
Geno Stone,55967,S,BLT,9,0,7.0,0,0,3,63.7,61.4,82.4,56.7,47.6,65.4,50.0,2,0,54,54,0.0,0,2
AJ Parker,55983,CB,DET,13,1,2.6,0,0,11,57.1,48.3,84.8,39.1,29.0,39.6,33.3,5,2,174,178,3.4,6,9
