player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
J.C. Jackson,42781,CB,NE,16,0,1,19,54.8,0,1,2,0.4,0.0,0,2,25.0,0,500,2,1,0,54.8,0,1,2,1.0,0.0,0,25.0,0,193,2,1
Amani Bledsoe,42782,ED,CIN,14,2,0,7,50.9,0,5,144,96.2,3.5,5,0,1.7,0,159,153,5,0,46.7,0,0,50,94.9,2.0,1,0.0,0,59,56,0
Terrell Lewis,42845,ED,LA,9,1,0,26,63.5,2,7,88,88.5,11.4,10,0,7.4,2,104,92,11,1,68.9,2,6,49,91.2,18.4,9,10.2,1,57,52,9
Omari Cobb,42867,LB,KC,1,0,0,16,60.0,0,0,1,33.3,0.0,0,0,0.0,0,3,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
Troy Pride Jr.,42883,CB,CAR,14,0,0,5,60.0,0,0,0,0.3,,0,4,,0,327,1,0,0,60.0,0,0,0,0.9,,0,,0,110,1,0
Kristian Fulton,42894,CB,TEN,7,0,0,31,81.5,0,2,6,4.3,16.7,1,1,33.3,1,139,6,3,0,75.3,0,1,3,4.9,0.0,0,50.0,1,61,3,2
Rashan Gary,42905,ED,GB,17,1,0,12,65.9,6,31,334,97.8,15.9,53,1,8.2,9,357,349,46,0,72.0,4,24,179,99.5,24.6,44,12.3,8,191,190,36
Khalid Kareem,42993,ED,CIN,16,0,0,7,59.0,2,6,121,94.9,9.9,12,2,4.1,1,137,130,9,0,55.9,1,1,40,91.7,10.0,4,2.5,0,48,44,2
Charvarius Ward,43034,CB,KC,17,0,2,16,77.1,2,6,17,2.7,11.8,2,11,29.4,1,629,17,9,0,80.5,2,2,8,2.8,0.0,0,37.5,1,284,8,5
Brandon Jones,43049,S,MIA,16,0,0,17,63.5,0,5,54,20.5,7.4,4,1,6.5,1,278,57,6,0,60.1,0,2,24,19.8,4.2,1,4.2,0,131,26,2
McTelvin Agim,43069,DI,DEN,10,1,0,10,63.1,0,6,64,100.0,7.8,5,0,4.7,0,70,70,6,0,57.8,0,3,33,100.0,9.1,3,4.5,0,36,36,3
Vernon Scott,43076,S,GB,10,0,0,12,81.6,0,0,3,5.0,33.3,1,0,33.3,1,80,4,1,0,83.6,0,0,2,5.7,50.0,1,50.0,1,53,3,1
Devin White,43089,LB,TB,18,1,0,30,81.8,8,16,121,15.7,19.8,24,4,17.4,9,830,130,33,0,84.1,5,9,65,19.4,23.1,15,24.6,9,361,70,23
Jeremy Chinn,43179,S,CAR,15,0,1,5,62.2,4,9,70,12.5,10.0,7,3,10.7,1,610,76,14,0,63.1,2,4,26,13.8,19.2,5,11.5,0,218,30,6
Mack Wilson,43190,LB,CLV,15,0,0,8,77.2,0,2,14,7.5,14.3,2,1,7.1,0,213,16,2,0,70.3,0,0,5,7.1,20.0,1,0.0,0,85,6,0
Myles Bryant,43336,S,NE,9,0,0,19,50.5,0,0,6,5.4,0.0,0,1,0.0,0,112,6,0,0,51.6,0,0,4,7.1,0.0,0,0.0,0,56,4,0
Carter Coughlin,43498,ED,NYG,10,0,0,21,59.6,1,9,95,71.2,11.6,11,0,6.3,1,139,99,11,0,59.6,1,5,40,84.0,15.0,6,10.0,1,50,42,7
Alex Highsmith,43507,ED,PIT,17,0,0,25,71.4,4,15,213,87.5,16.4,35,1,5.4,2,256,224,21,0,74.3,3,13,127,88.6,21.3,27,7.9,2,149,132,18
